status;duration;credit_history;purpose;amount;credit_risk
no checking account;18;all credits at this bank paid back duly;car (used);2098;good credit risk
no checking account;9;all credits at this bank paid back duly;others;5598;good credit risk
balance less than 0 Euro;12;no credits taken or all credits paid back duly;retraining;1682;good credit risk
no checking account;12;all credits at this bank paid back duly;others;4244;good credit risk
no checking account;12;all credits at this bank paid back duly;others;4342;good credit risk
no checking account;10;all credits at this bank paid back duly;others;4482;good credit risk
no checking account;8;all credits at this bank paid back duly;others;6796;good credit risk
no checking account;6;all credits at this bank paid back duly;others;2722;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;furniture/equipment;2196;good credit risk
balance less than 0 Euro;24;no credits taken or all credits paid back duly;furniture/equipment;7516;good credit risk
no checking account;11;all credits at this bank paid back duly;others;7810;good credit risk
no checking account;30;all credits at this bank paid back duly;car (new);12374;good credit risk
no checking account;6;all credits at this bank paid back duly;furniture/equipment;3914;good credit risk
balance less than 0 Euro;48;existing credits paid back duly till now;business;15164;good credit risk
no checking account;18;no credits taken or all credits paid back duly;furniture/equipment;3872;good credit risk
no checking account;6;no credits taken or all credits paid back duly;furniture/equipment;5294;good credit risk
no checking account;11;all credits at this bank paid back duly;others;7878;good credit risk
balance less than 0 Euro;18;no credits taken or all credits paid back duly;furniture/equipment;6426;good credit risk
balance less than 0 Euro;36;all credits at this bank paid back duly;furniture/equipment;4674;good credit risk
balance at least 200 Euro or salary for at least 1 year;11;all credits at this bank paid back duly;others;14456;good credit risk
no checking account;6;all credits at this bank paid back duly;others;7352;good credit risk
balance less than 0 Euro;12;all credits at this bank paid back duly;others;6248;good credit risk
balance less than 0 Euro;36;no credits taken or all credits paid back duly;domestic appliances;4768;bad credit risk
balance less than 0 Euro;12;all credits at this bank paid back duly;radio/television;2848;good credit risk
no checking account;6;all credits at this bank paid back duly;others;9432;good credit risk
balance less than 0 Euro;11;existing credits paid back duly till now;furniture/equipment;9542;good credit risk
no checking account;12;no credits taken or all credits paid back duly;car (used);1304;good credit risk
balance less than 0 Euro;9;all credits at this bank paid back duly;furniture/equipment;2308;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;others;7112;good credit risk
balance between 0 and 200 Euro;42;all credits at this bank paid back duly;car (new);9592;good credit risk
balance between 0 and 200 Euro;30;all credits at this bank paid back duly;furniture/equipment;6034;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;all credits at this bank paid back duly;others;7070;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;all credits at this bank paid back duly;others;13228;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;2752;good credit risk
no checking account;15;no credits taken or all credits paid back duly;others;3442;good credit risk
no checking account;6;all credits at this bank paid back duly;others;1720;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;others;2990;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;furniture/equipment;3868;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;car (new);6756;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;car (new);7736;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;domestic appliances;1992;good credit risk
no checking account;24;no credits taken or all credits paid back duly;business;3510;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;others;2056;good credit risk
balance less than 0 Euro;24;all credits at this bank paid back duly;retraining;5650;good credit risk
balance less than 0 Euro;18;no credits taken or all credits paid back duly;repairs;2478;good credit risk
no checking account;18;no credits taken or all credits paid back duly;others;2432;bad credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;retraining;2516;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;repairs;3728;bad credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;2948;good credit risk
no checking account;24;all credits at this bank paid back duly;retraining;2764;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;others;1280;good credit risk
balance between 0 and 200 Euro;36;no credits taken or all credits paid back duly;furniture/equipment;7838;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;all credits at this bank paid back duly;others;2448;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;furniture/equipment;4662;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);12626;good credit risk
no checking account;12;all credits at this bank paid back duly;furniture/equipment;770;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;furniture/equipment;3310;good credit risk
no checking account;15;no credits taken or all credits paid back duly;furniture/equipment;2106;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;no credits taken or all credits paid back duly;furniture/equipment;6320;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;others;6158;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;others;2326;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);5358;good credit risk
balance at least 200 Euro or salary for at least 1 year;48;all credits at this bank paid back duly;furniture/equipment;7156;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;existing credits paid back duly till now;others;21750;good credit risk
no checking account;12;existing credits paid back duly till now;others;2688;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;all credits at this bank paid back duly;furniture/equipment;2474;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;6154;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;4568;good credit risk
balance less than 0 Euro;12;no credits taken or all credits paid back duly;furniture/equipment;3134;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;existing credits paid back duly till now;others;4064;good credit risk
balance less than 0 Euro;21;all credits at this bank paid back duly;car (used);5490;good credit risk
balance at least 200 Euro or salary for at least 1 year;30;no credits taken or all credits paid back duly;furniture/equipment;3734;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture/equipment;4598;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);1858;good credit risk
balance between 0 and 200 Euro;12;no credits taken or all credits paid back duly;furniture/equipment;6798;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;car (used);4060;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;all credits at this bank paid back duly;car (new);6550;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;others;3880;good credit risk
no checking account;21;all credits at this bank paid back duly;others;3204;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;furniture/equipment;3958;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;others;4044;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;all credits at this bank paid back duly;furniture/equipment;6684;good credit risk
balance less than 0 Euro;18;no credits taken or all credits paid back duly;others;11732;good credit risk
balance between 0 and 200 Euro;15;all credits at this bank paid back duly;car (new);4720;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;car (used);3040;good credit risk
no checking account;12;no credits taken or all credits paid back duly;others;7302;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;car (new);4692;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;existing credits paid back duly till now;furniture/equipment;8908;good credit risk
no checking account;6;all credits at this bank paid back duly;others;1332;good credit risk
balance less than 0 Euro;24;existing credits paid back duly till now;others;3930;good credit risk
balance less than 0 Euro;12;all credits at this bank paid back duly;others;3990;good credit risk
balance less than 0 Euro;30;no credits taken or all credits paid back duly;furniture/equipment;5982;good credit risk
balance less than 0 Euro;30;delay in paying off in the past;retraining;8442;good credit risk
no checking account;9;no credits taken or all credits paid back duly;furniture/equipment;2728;good credit risk
balance less than 0 Euro;18;all credits at this bank paid back duly;car (used);12722;good credit risk
balance at least 200 Euro or salary for at least 1 year;27;all credits at this bank paid back duly;car (used);9052;good credit risk
balance less than 0 Euro;12;all credits at this bank paid back duly;furniture/equipment;7146;good credit risk
balance less than 0 Euro;36;existing credits paid back duly till now;retraining;8910;bad credit risk
no checking account;9;no credits taken or all credits paid back duly;car (used);4272;good credit risk
balance less than 0 Euro;42;all credits at this bank paid back duly;retraining;11908;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;car (used);7554;good credit risk
no checking account;15;no credits taken or all credits paid back duly;retraining;1612;good credit risk
balance less than 0 Euro;24;existing credits paid back duly till now;retraining;9424;good credit risk
balance less than 0 Euro;36;existing credits paid back duly till now;others;14864;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;furniture/equipment;3702;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;2786;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;retraining;2824;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;furniture/equipment;2946;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;3066;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;4024;good credit risk
no checking account;15;no credits taken or all credits paid back duly;others;7918;bad credit risk
no checking account;6;no credits taken or all credits paid back duly;car (used);856;good credit risk
balance less than 0 Euro;12;all credits at this bank paid back duly;others;4732;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;car (used);1526;good credit risk
balance less than 0 Euro;21;no credits taken or all credits paid back duly;car (used);7952;good credit risk
balance less than 0 Euro;18;no credits taken or all credits paid back duly;others;12520;good credit risk
balance less than 0 Euro;9;all credits at this bank paid back duly;car (used);3838;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);5206;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;all credits at this bank paid back duly;repairs;1872;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);6124;good credit risk
