treatment,adjusted_kl_div,n_concepts_in_treatment,total_axiomatic_kl_div,t_value
0_G0_C0_(1),0.0013861516490578651,1,0.0013861516490578651,1.0
0_G1_C0_(1),0.0021629242692142725,1,0.0021629242692142725,1.0
0_G4_C0_(1),0.02568211406469345,1,0.02568211406469345,1.0
0_G3_C0_(1),0.35914793610572815,1,0.35914793610572815,1.0
0_G2_C0_(1),0.20752179622650146,1,0.20752179622650146,1.0
1_G0_C0_(1),0.0010680394480004907,1,0.0010680394480004907,1.0
1_G1_C0_(1),0.0016679414547979832,1,0.0016679414547979832,1.0
1_G4_C0_(1),0.0024023624137043953,1,0.0024023624137043953,1.0
1_G3_C0_(1),0.0019727873150259256,1,0.0019727873150259256,1.0
1_G2_C0_(1),0.7195790410041809,1,0.7195790410041809,1.0
1_G5_C0_(1),0.0019193626940250397,1,0.0019193626940250397,1.0
