treatment,adjusted_kl_div,n_concepts_in_treatment,total_axiomatic_kl_div,t_value
0_G0_C0_(1),0.000842030334752,1,0.000842030334752,1.0
0_G1_C0_(1),0.0071529657579958,1,0.0071529657579958,1.0
0_G4_C0_(1),0.0277210362255573,1,0.0277210362255573,1.0
0_G3_C0_(1),0.1520696133375167,1,0.1520696133375167,1.0
0_G2_C0_(1),0.1432064622640609,1,0.1432064622640609,1.0
1_G0_C0_(1),0.0016024945070967,1,0.0016024945070967,1.0
1_G1_C0_(1),0.0008671066025272,1,0.0008671066025272,1.0
1_G4_C0_(1),0.0100436452776193,1,0.0100436452776193,1.0
1_G3_C0_(1),0.0069357133470475,1,0.0069357133470475,1.0
1_G2_C0_(1),0.6632224321365356,1,0.6632224321365356,1.0
1_G5_C0_(1),0.0099498890340328,1,0.0099498890340328,1.0
