treatment,adjusted_kl_div,n_concepts_in_treatment,total_axiomatic_kl_div,t_value
0_G0_C2_(011),0.345332159055432,2,0.48100969195365906,0.2898482633867507
0_G6_C0_(1),0.18741467595100403,1,0.18741467595100403,1.0
0_G0_C3_(100),0.12871715426445007,1,0.12871715426445007,1.0
0_G1_C2_(11),0.28116992943381275,2,0.21357397735118866,0.5315058418482984
0_G0_C1_(010),0.13850650191307068,1,0.13850650191307068,1.0
0_G0_C4_(101),0.2972867362771997,2,0.47122034430503845,0.25470590102881246
0_G4_C0_(1),0.9323004484176636,1,0.9323004484176636,1.0
0_G3_C1_(10),0.16502054035663605,1,0.16502054035663605,1.0
0_G0_C6_(111),0.6097268462181091,3,0.6097268462181091,0.23827308009301318
0_G9_C0_(1),0.1261567324399948,1,0.1261567324399948,1.0
0_G10_C0_(1),0.08893577009439468,1,0.08893577009439468,1.0
0_G12_C0_(1),0.11247409880161285,1,0.11247409880161285,1.0
0_G2_C2_(11),0.34282437515577957,2,0.22450753301382065,0.6164931867971115
0_G0_C5_(110),0.32461659806464654,2,0.26722365617752075,0.49043711184851946
0_G0_C0_(001),0.3425031900405884,1,0.3425031900405884,1.0
0_G14_C0_(1),0.12308264523744583,1,0.12308264523744583,1.0
0_G3_C0_(01),0.5392271876335144,1,0.5392271876335144,1.0
0_G13_C0_(1),0.635240912437439,1,0.635240912437439,1.0
0_G1_C0_(01),0.10179879516363144,1,0.10179879516363144,1.0
0_G8_C0_(1),0.08306369930505753,1,0.08306369930505753,1.0
0_G1_C1_(10),0.11177518218755722,1,0.11177518218755722,1.0
0_G7_C0_(1),0.13880592584609985,1,0.13880592584609985,1.0
0_G11_C0_(1),0.10627283900976181,1,0.10627283900976181,1.0
0_G2_C0_(01),0.12029822170734406,1,0.12029822170734406,1.0
0_G5_C0_(1),0.09781894087791443,1,0.09781894087791443,1.0
0_G3_C2_(11),0.4175493595591514,2,0.7042477279901505,0.23937008457137152
0_G2_C1_(10),0.10420931130647659,1,0.10420931130647659,1.0
1_G0_C2_(011),2.9121275877901174,2,2.0609853267669678,0.5786700151161464
1_G6_C0_(1),0.9449031352996826,1,0.9449031352996826,1.0
1_G0_C3_(100),0.39230671525001526,1,0.39230671525001526,1.0
1_G1_C2_(11),0.29398675829347565,2,1.2791775465011597,0.09412227637824415
1_G0_C1_(010),1.0334010124206543,1,1.0334010124206543,1.0
1_G0_C4_(101),2.7482460778555344,2,1.4198910295963287,0.7926766799940147
1_G4_C0_(1),0.9353856444358826,1,0.9353856444358826,1.0
1_G3_C1_(10),0.5214203000068665,1,0.5214203000068665,1.0
1_G0_C6_(111),2.4532920420169835,3,2.453292042016983,0.5031651267211419
1_G9_C0_(1),0.6609333753585815,1,0.6609333753585815,1.0
1_G10_C0_(1),0.39595478773117065,1,0.39595478773117065,1.0
1_G12_C0_(1),1.0421169996261597,1,1.0421169996261597,1.0
1_G2_C2_(11),2.864773574478274,2,2.045103430747986,0.5736810508959451
1_G0_C5_(110),1.0142342260305142,2,1.4257077276706696,0.2913420949637693
1_G0_C0_(001),1.0275843143463135,1,1.0275843143463135,1.0
1_G14_C0_(1),0.604968786239624,1,0.604968786239624,1.0
1_G3_C0_(01),0.32757100462913513,1,0.32757100462913513,1.0
1_G13_C0_(1),0.12559393048286438,1,0.12559393048286438,1.0
1_G1_C0_(01),0.9241840243339539,1,0.9241840243339539,1.0
1_G8_C0_(1),0.3847913146018982,1,0.3847913146018982,1.0
1_G1_C1_(10),0.3549935221672058,1,0.3549935221672058,1.0
1_G7_C0_(1),0.8216965794563293,1,0.8216965794563293,1.0
1_G11_C0_(1),0.8354390263557434,1,0.8354390263557434,1.0
1_G2_C0_(01),1.025850772857666,1,1.025850772857666,1.0
1_G5_C0_(1),0.8184419274330139,1,0.8184419274330139,1.0
1_G3_C2_(11),0.26274356078927996,2,0.8489913046360016,0.12674309829591102
1_G2_C1_(10),1.0192526578903198,1,1.0192526578903198,1.0
